epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.27763,0.73268,1.78399,0.00199,0.59,0.42288,0.37787,0.3681,0.25414,2.07405,0.00098,1.25e-05,1.25e-05,1.25e-05
2,17.7948,0.61288,1.56372,0.00199,0.58857,0.44579,0.41078,0.39914,0.33406,1.88735,0.00126,3.09406e-05,3.09406e-05,3.09406e-05
3,26.6798,0.5707,1.31666,0.0019,0.68156,0.50611,0.51029,0.48579,0.44144,1.53572,0.00164,4.901e-05,4.901e-05,4.901e-05
4,35.6385,0.57194,1.02462,0.0019,0.61003,0.66269,0.63246,0.5962,0.43335,1.16316,0.00158,6.67081e-05,6.67081e-05,6.67081e-05
5,45.2733,0.61955,0.93512,0.0018,0.58018,0.78224,0.71972,0.67493,0.35505,0.89162,0.00131,8.4035e-05,8.4035e-05,8.4035e-05
6,53.9593,0.51915,0.73738,0.00163,0.6308,0.89827,0.82025,0.76998,0.32015,0.78313,0.00123,0.000100991,0.000100991,0.000100991
7,62.7385,0.56522,0.73267,0.00167,0.6589,0.92191,0.90759,0.85854,0.3498,0.72412,0.00135,0.000117575,0.000117575,0.000117575
8,71.387,0.52521,0.57594,0.00168,0.8506,0.78391,0.9223,0.87396,0.35415,0.71534,0.00135,0.000133788,0.000133788,0.000133788
9,80.054,0.50193,0.54025,0.00155,0.88868,0.77046,0.945,0.89967,0.32214,0.68129,0.00123,0.00014963,0.00014963,0.00014963
10,88.6005,0.5145,0.55555,0.00157,0.71349,0.92815,0.95658,0.91327,0.33018,0.63015,0.00128,0.000165101,0.000165101,0.000165101
11,97.1048,0.54543,0.55126,0.00167,0.84663,0.92474,0.96052,0.91194,0.34659,0.50204,0.00135,0.0001802,0.0001802,0.0001802
12,105.536,0.56395,0.58063,0.00173,0.87691,0.92196,0.9636,0.91359,0.33278,0.44726,0.00129,0.000194928,0.000194928,0.000194928
13,114.167,0.49484,0.42611,0.00151,0.92079,0.92113,0.96406,0.92068,0.34886,0.3913,0.00134,0.000209285,0.000209285,0.000209285
14,122.318,0.51895,0.51435,0.00191,0.92029,0.93402,0.96555,0.924,0.33824,0.36252,0.0013,0.000223271,0.000223271,0.000223271
15,130.539,0.50945,0.44674,0.00165,0.94879,0.91614,0.96891,0.92459,0.3402,0.30879,0.0013,0.000236885,0.000236885,0.000236885
16,138.617,0.52605,0.46833,0.00165,0.94312,0.9212,0.96886,0.92001,0.34179,0.29503,0.00131,0.000250128,0.000250128,0.000250128
17,146.906,0.5035,0.43658,0.0015,0.94652,0.93262,0.97021,0.92327,0.34351,0.27321,0.00129,0.000263,0.000263,0.000263
18,154.95,0.48386,0.38603,0.0015,0.95263,0.92873,0.97106,0.92427,0.34015,0.26749,0.00129,0.000275501,0.000275501,0.000275501
19,163.287,0.45975,0.3779,0.00144,0.96374,0.90764,0.97105,0.92715,0.31891,0.2644,0.00123,0.00028763,0.00028763,0.00028763
20,171.86,0.42677,0.355,0.00141,0.94981,0.91447,0.97144,0.93467,0.32685,0.26865,0.00125,0.000299388,0.000299388,0.000299388
21,180.262,0.47049,0.36304,0.00149,0.90952,0.94867,0.97172,0.92683,0.35429,0.27988,0.00134,0.000310775,0.000310775,0.000310775
22,189.014,0.50106,0.40807,0.00158,0.91256,0.94497,0.97274,0.9261,0.37091,0.28122,0.0014,0.000321791,0.000321791,0.000321791
23,197.429,0.43077,0.35835,0.00135,0.93503,0.9403,0.97229,0.92183,0.38783,0.27628,0.00145,0.000332435,0.000332435,0.000332435
24,205.694,0.43984,0.33333,0.00144,0.93487,0.94393,0.97257,0.92491,0.3825,0.27436,0.00143,0.000342708,0.000342708,0.000342708
25,214.31,0.43254,0.35323,0.00145,0.93187,0.94742,0.97357,0.93249,0.34515,0.27174,0.00131,0.00035261,0.00035261,0.00035261
26,222.882,0.46136,0.39942,0.00155,0.92434,0.94703,0.9731,0.93392,0.29322,0.26538,0.00114,0.000362141,0.000362141,0.000362141
27,231.459,0.42616,0.33633,0.00151,0.91138,0.94782,0.97419,0.94129,0.29263,0.26263,0.00113,0.0003713,0.0003713,0.0003713
28,239.948,0.43767,0.32869,0.00136,0.96325,0.89561,0.97378,0.93699,0.30326,0.26303,0.00115,0.000380088,0.000380088,0.000380088
29,248.548,0.40596,0.33806,0.00133,0.96325,0.89561,0.97378,0.93699,0.30326,0.26303,0.00115,0.000388505,0.000388505,0.000388505
30,257.195,0.42233,0.37202,0.00144,0.94147,0.90267,0.97443,0.93916,0.32645,0.27614,0.0012,0.000396551,0.000396551,0.000396551
31,265.331,0.45449,0.35816,0.0016,0.92195,0.90728,0.97331,0.93805,0.29069,0.27802,0.00108,0.000404225,0.000404225,0.000404225
32,273.758,0.44693,0.3531,0.00132,0.9391,0.89916,0.97501,0.9346,0.27939,0.27397,0.00105,0.000411528,0.000411528,0.000411528
33,281.923,0.41757,0.32894,0.00138,0.9391,0.89916,0.97501,0.9346,0.27939,0.27397,0.00105,0.00041846,0.00041846,0.00041846
34,290.636,0.39597,0.33451,0.00126,0.95652,0.89544,0.97562,0.93411,0.31011,0.26654,0.00117,0.000420812,0.000420812,0.000420812
35,299.011,0.44657,0.34594,0.00136,0.95407,0.90347,0.97682,0.93356,0.31879,0.25863,0.0012,0.000414625,0.000414625,0.000414625
36,307.545,0.4331,0.33817,0.00137,0.95306,0.90336,0.97725,0.93317,0.28378,0.25173,0.00107,0.000408438,0.000408438,0.000408438
37,316.183,0.40125,0.31906,0.00128,0.95306,0.90336,0.97725,0.93317,0.28378,0.25173,0.00107,0.00040225,0.00040225,0.00040225
38,324.604,0.39629,0.30599,0.00127,0.9438,0.91212,0.97749,0.94396,0.2768,0.25489,0.00104,0.000396063,0.000396063,0.000396063
39,333.259,0.43031,0.33981,0.00134,0.93992,0.92209,0.9784,0.94466,0.29138,0.25953,0.00106,0.000389875,0.000389875,0.000389875
40,341.472,0.43515,0.34469,0.00152,0.92984,0.93664,0.97818,0.94526,0.26763,0.25968,0.00098,0.000383688,0.000383688,0.000383688
41,349.775,0.42314,0.32944,0.00133,0.92984,0.93664,0.97818,0.94526,0.26763,0.25968,0.00098,0.0003775,0.0003775,0.0003775
42,358.41,0.42788,0.34821,0.0013,0.93271,0.93209,0.97768,0.94472,0.24259,0.26941,0.0009,0.000371313,0.000371313,0.000371313
43,366.739,0.3916,0.30668,0.00118,0.93349,0.93506,0.97771,0.94396,0.26486,0.26165,0.00098,0.000365125,0.000365125,0.000365125
44,375.044,0.43538,0.33564,0.00145,0.9357,0.9331,0.97806,0.94359,0.27675,0.26176,0.00103,0.000358938,0.000358938,0.000358938
45,383.324,0.43196,0.3527,0.00141,0.9357,0.9331,0.97806,0.94359,0.27675,0.26176,0.00103,0.00035275,0.00035275,0.00035275
46,391.68,0.42783,0.31376,0.00134,0.93272,0.9331,0.97798,0.93584,0.2688,0.26726,0.00101,0.000346563,0.000346563,0.000346563
47,400.076,0.4241,0.32708,0.00126,0.92439,0.9342,0.97829,0.93529,0.28516,0.27144,0.00108,0.000340375,0.000340375,0.000340375
48,408.624,0.45575,0.33396,0.00132,0.91513,0.93142,0.9776,0.93331,0.31708,0.27329,0.00119,0.000334188,0.000334188,0.000334188
49,417.056,0.44314,0.34216,0.00146,0.91513,0.93142,0.9776,0.93331,0.31708,0.27329,0.00119,0.000328,0.000328,0.000328
50,425.775,0.41171,0.31922,0.00119,0.9096,0.93374,0.97636,0.93575,0.30341,0.27179,0.00112,0.000321812,0.000321812,0.000321812
51,434.047,0.40402,0.34554,0.00132,0.89639,0.93699,0.97537,0.94042,0.27591,0.26501,0.00102,0.000315625,0.000315625,0.000315625
52,442.683,0.42132,0.30227,0.00135,0.91853,0.91632,0.97395,0.93681,0.27977,0.26137,0.00104,0.000309437,0.000309437,0.000309437
53,451.141,0.40857,0.31458,0.00135,0.91853,0.91632,0.97395,0.93681,0.27977,0.26137,0.00104,0.00030325,0.00030325,0.00030325
54,459.758,0.41615,0.32953,0.00128,0.91242,0.92158,0.96988,0.93276,0.27177,0.25761,0.00101,0.000297063,0.000297063,0.000297063
55,467.95,0.37512,0.28883,0.00124,0.9152,0.92171,0.96927,0.93275,0.24793,0.24806,0.00092,0.000290875,0.000290875,0.000290875
56,476.443,0.37877,0.31701,0.00118,0.91938,0.9156,0.96978,0.93319,0.26164,0.24977,0.00098,0.000284688,0.000284688,0.000284688
57,484.98,0.39746,0.34178,0.00132,0.91938,0.9156,0.96978,0.93319,0.26164,0.24977,0.00098,0.0002785,0.0002785,0.0002785
58,493.374,0.43848,0.34518,0.0015,0.91447,0.91527,0.96978,0.93748,0.27397,0.2594,0.00102,0.000272313,0.000272313,0.000272313
59,501.943,0.41997,0.33303,0.00145,0.91101,0.91308,0.96923,0.937,0.25812,0.26513,0.00097,0.000266125,0.000266125,0.000266125
60,510.655,0.39695,0.31573,0.0014,0.90969,0.91109,0.96865,0.93746,0.25213,0.26863,0.00095,0.000259938,0.000259938,0.000259938
