epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7728,0.9231,4.50531,0.00364,0.00991,0.22092,0.00619,0.0032,0.55563,4.47575,0.00248,0.00016875,0.00016875,0.00016875
2,15.7122,0.70562,3.80326,0.00262,0.03729,0.54188,0.08454,0.06871,0.55726,3.9636,0.00243,0.000340347,0.000340347,0.000340347
3,19.6366,0.708,2.8761,0.00268,0.70747,0.15829,0.23913,0.19882,0.64418,2.57001,0.00287,0.000508479,0.000508479,0.000508479
4,23.6008,0.69522,2.23633,0.00253,0.45578,0.32308,0.27489,0.23396,0.6163,2.19298,0.00268,0.000606437,0.000606437,0.000606437
5,27.5006,0.72055,1.97184,0.00261,0.29677,0.43567,0.31511,0.26632,0.6143,2.01592,0.00277,0.00060025,0.00060025,0.00060025
6,31.4584,0.67979,1.80547,0.00246,0.36872,0.48935,0.40544,0.34965,0.58814,1.83259,0.00261,0.000594062,0.000594062,0.000594062
7,35.3431,0.67524,1.70991,0.00256,0.33111,0.47547,0.44676,0.37382,0.62561,1.68871,0.00278,0.000587875,0.000587875,0.000587875
8,39.1939,0.6623,1.60288,0.00236,0.38291,0.55885,0.50804,0.44587,0.56162,1.52492,0.00249,0.000581687,0.000581687,0.000581687
9,43.0643,0.64538,1.51415,0.00251,0.44504,0.56998,0.54947,0.46467,0.58931,1.4714,0.0026,0.0005755,0.0005755,0.0005755
10,47.0751,0.62023,1.3748,0.00227,0.53625,0.64214,0.61486,0.52074,0.60744,1.39775,0.00265,0.000569313,0.000569313,0.000569313
11,50.9419,0.64708,1.3723,0.00249,0.57246,0.6745,0.67115,0.59022,0.50993,1.2418,0.00222,0.000563125,0.000563125,0.000563125
12,54.8036,0.61524,1.25468,0.00231,0.59456,0.69356,0.69332,0.60058,0.56205,1.2383,0.00246,0.000556938,0.000556938,0.000556938
13,58.6705,0.6039,1.19874,0.00233,0.6674,0.71247,0.75562,0.66173,0.53092,1.11644,0.00235,0.00055075,0.00055075,0.00055075
14,62.538,0.59792,1.10158,0.00222,0.68462,0.73884,0.79701,0.7055,0.50241,1.0932,0.00219,0.000544563,0.000544563,0.000544563
15,66.4103,0.5917,1.05247,0.00213,0.72391,0.77421,0.83457,0.73807,0.52197,1.00794,0.00231,0.000538375,0.000538375,0.000538375
16,70.2249,0.56737,0.97414,0.00215,0.75846,0.75675,0.85254,0.75934,0.48712,0.9729,0.00213,0.000532187,0.000532187,0.000532187
17,74.0821,0.59661,0.99106,0.00228,0.75682,0.7873,0.86689,0.77632,0.47324,0.93875,0.00207,0.000526,0.000526,0.000526
18,77.9215,0.57311,0.90527,0.00208,0.78771,0.82238,0.88789,0.8011,0.46327,0.86112,0.00201,0.000519812,0.000519812,0.000519812
19,81.7576,0.55386,1.19707,0.00203,0.79318,0.83027,0.90127,0.80397,0.46668,0.85741,0.00205,0.000513625,0.000513625,0.000513625
20,85.5759,0.57234,0.86205,0.00211,0.82735,0.80993,0.90314,0.81788,0.457,0.82772,0.00201,0.000507438,0.000507438,0.000507438
21,89.4066,0.57223,0.8389,0.00202,0.82045,0.86867,0.91815,0.83256,0.44859,0.77037,0.00196,0.00050125,0.00050125,0.00050125
22,93.2121,0.55227,0.78624,0.00202,0.8319,0.86559,0.92591,0.84058,0.44043,0.74212,0.00192,0.000495063,0.000495063,0.000495063
23,96.996,0.55567,0.77182,0.00208,0.86389,0.84782,0.93502,0.84801,0.44918,0.72884,0.00197,0.000488875,0.000488875,0.000488875
24,100.832,0.56705,0.75117,0.00204,0.85928,0.88701,0.94298,0.84848,0.46885,0.70326,0.00205,0.000482687,0.000482687,0.000482687
25,104.651,0.56236,0.7788,0.00208,0.86192,0.87968,0.94653,0.84227,0.50474,0.69363,0.0022,0.0004765,0.0004765,0.0004765
26,108.54,0.54879,0.72379,0.00201,0.87223,0.88399,0.9449,0.8631,0.42993,0.66202,0.00187,0.000470312,0.000470312,0.000470312
27,112.343,0.5546,0.69159,0.00206,0.90677,0.88037,0.95706,0.87255,0.45472,0.61344,0.00198,0.000464125,0.000464125,0.000464125
28,116.156,0.55414,0.67517,0.00203,0.89969,0.88209,0.95842,0.86131,0.46451,0.62167,0.00201,0.000457938,0.000457938,0.000457938
29,119.951,0.53195,0.64856,0.00191,0.9142,0.8994,0.96343,0.87222,0.4537,0.58349,0.00196,0.00045175,0.00045175,0.00045175
30,123.762,0.55235,0.63458,0.00196,0.89331,0.9099,0.96254,0.87754,0.43049,0.57098,0.00186,0.000445562,0.000445562,0.000445562
31,127.568,0.53971,0.72822,0.00199,0.93936,0.8862,0.96645,0.87205,0.45,0.56566,0.00196,0.000439375,0.000439375,0.000439375
32,131.357,0.53499,0.61127,0.00191,0.91869,0.91268,0.9678,0.8745,0.44145,0.54907,0.00195,0.000433187,0.000433187,0.000433187
33,135.125,0.52578,0.60608,0.00193,0.93093,0.87895,0.96212,0.8752,0.4213,0.53588,0.00183,0.000427,0.000427,0.000427
34,138.915,0.52908,0.60789,0.0019,0.91807,0.89332,0.96403,0.87931,0.43202,0.52179,0.00188,0.000420812,0.000420812,0.000420812
35,142.737,0.53086,0.58415,0.00191,0.90289,0.9202,0.96649,0.88051,0.43874,0.51796,0.00193,0.000414625,0.000414625,0.000414625
36,146.561,0.53088,0.58557,0.00193,0.91997,0.91178,0.9667,0.87815,0.43874,0.50454,0.0019,0.000408438,0.000408438,0.000408438
37,150.364,0.52415,0.55159,0.00188,0.9235,0.91315,0.96874,0.87727,0.42653,0.49561,0.00186,0.00040225,0.00040225,0.00040225
38,154.242,0.51924,0.55445,0.00185,0.8912,0.91779,0.96564,0.8836,0.4101,0.4838,0.00178,0.000396063,0.000396063,0.000396063
39,158.059,0.52396,0.53467,0.00191,0.93478,0.91045,0.97042,0.88869,0.4128,0.46859,0.0018,0.000389875,0.000389875,0.000389875
40,161.88,0.53012,0.54913,0.00201,0.91189,0.92822,0.97031,0.88058,0.44454,0.46692,0.00192,0.000383688,0.000383688,0.000383688
41,165.682,0.52623,0.52867,0.00184,0.92158,0.91964,0.97148,0.88525,0.43646,0.45228,0.0019,0.0003775,0.0003775,0.0003775
42,169.477,0.52423,0.52679,0.00188,0.9025,0.94066,0.9697,0.88217,0.41681,0.43955,0.00183,0.000371313,0.000371313,0.000371313
43,173.266,0.51233,0.50394,0.00188,0.91414,0.93387,0.9734,0.88839,0.41193,0.43345,0.00181,0.000365125,0.000365125,0.000365125
44,177.061,0.52586,0.50935,0.00188,0.93141,0.91472,0.97269,0.88539,0.43357,0.4328,0.00189,0.000358938,0.000358938,0.000358938
45,180.884,0.50665,0.48745,0.00186,0.91762,0.92301,0.97104,0.8868,0.41796,0.43037,0.00182,0.00035275,0.00035275,0.00035275
46,184.679,0.52003,0.53803,0.00199,0.92889,0.92132,0.97014,0.88606,0.41001,0.42573,0.00179,0.000346563,0.000346563,0.000346563
47,188.452,0.51526,0.50192,0.00189,0.93343,0.91424,0.973,0.88374,0.43012,0.4212,0.00187,0.000340375,0.000340375,0.000340375
48,192.306,0.52239,0.48786,0.0019,0.91897,0.91738,0.97085,0.89012,0.39842,0.41336,0.00174,0.000334188,0.000334188,0.000334188
49,196.111,0.51859,0.50013,0.0019,0.91024,0.9429,0.97215,0.88437,0.42877,0.41327,0.00186,0.000328,0.000328,0.000328
50,199.863,0.49886,0.46475,0.00188,0.93351,0.9266,0.97401,0.88826,0.41837,0.39526,0.00182,0.000321812,0.000321812,0.000321812
51,203.658,0.4987,0.47901,0.00188,0.92623,0.93363,0.97151,0.89204,0.39965,0.38433,0.00174,0.000315625,0.000315625,0.000315625
52,207.463,0.50256,0.45906,0.00185,0.93013,0.93667,0.97554,0.89112,0.41034,0.38954,0.00179,0.000309437,0.000309437,0.000309437
53,211.257,0.50942,0.4487,0.00181,0.95068,0.91023,0.97513,0.89243,0.41343,0.38449,0.0018,0.00030325,0.00030325,0.00030325
